WatchedDate,Title,imdbID,rating10
2020-12-27,The Midnight Sky,tt10539608,6
2020-12-27,Death to 2020,tt13567480,7
2020-12-28,Hereditary,tt7784604,7
2020-12-31,Knives Out,tt8946378,9
2021-01-07,Hard Candy,tt0424136,7
2021-01-10,From Hell,tt0120681,NA
2021-01-10,The Witch,tt4263482,NA
2021-01-11,The Fog,tt0080749,NA
2021-01-19,John Mulaney: Kid Gorgeous at Radio City,tt8271714,NA
2021-01-23,Promising Young Woman,tt9620292,9
2021-02-08,Black Bear,tt9601220,8
2021-02-10,Blazing Saddles,tt0071230,NA
2021-02-14,Repo Men,tt1053424,NA
2021-03-04,Spree,tt11394332,NA
2021-03-05,Face/Off,tt0119094,NA
2021-03-27,Jennifer's Body,tt1131734,NA
2021-04-23,Nobody,tt7888964,8
2021-04-30,Hustlers,tt5503686,7
2021-05-25,Army of the Dead,tt0993840,7
2021-06-04,The Shape of Water,tt5580390,8
2021-06-05,Love and Monsters,tt2222042,7
2021-06-11,The Old Guard,tt7556122,NA
2021-06-12,Uncut Gems,tt5727208,8
2021-06-18,Altered States,tt0080360,NA
2021-06-22,Triple 9,tt1712261,5
2021-06-25,Monster Hunter,tt6475714,NA
2021-06-26,Paprika,tt0851578,8
2021-06-26,Fast & Furious Presents: Hobbs & Shaw,tt6806448,NA
2021-06-28,Zombieland: Double Tap,tt1560220,NA
2021-07-02,THX 1138,tt0066434,7
2021-07-03,A Quiet Place Part II,tt8332922,6
2021-07-06,The Tomorrow War,tt9777666,5
2021-07-13,The Others,tt0230600,8
2021-07-14,Black Widow,tt3480822,5
2021-07-23,Hitman's Wife's Bodyguard,tt8385148,6
2021-07-27,Chappie,tt1823672,6
2021-07-28,No Sudden Move,tt11525644,6
2021-07-31,F9,tt5433138,NA
2021-08-06,Troll Hunter,tt1740707,8
2021-08-06,The Colony,tt6506264,6
2021-08-17,The Suicide Squad,tt6334354,6
2021-08-22,Demonic,tt13392012,6
2021-08-25,The Witcher: Nightmare of the Wolf,tt11657662,7
2021-08-26,Awake,tt10418662,4
2021-08-27,Suicide Squad,tt1386697,5
2021-08-27,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),tt7713068,6
2021-09-11,Escape Room,tt5886046,7
2021-09-11,Escape Room: Tournament of Champions,tt9844522,5
2021-09-12,Fargo,tt0116282,7
2021-09-18,Godzilla,tt0831387,5
2021-09-18,The Conjuring,tt1457767,6
2021-10-05,Dune,tt1160419,9
2021-10-30,The Dead Zone,tt0085407,6
2021-10-30,Ready or Not,tt7798634,6
2021-10-31,The Woman in Black,tt1596365,NA
2021-10-31,Green Room,tt4062536,7
2021-11-05,Parasite,tt6751668,8
2021-11-19,Shang-Chi and the Legend of the Ten Rings,tt9376612,6
2021-12-03,Last Night in Soho,tt9639470,7
2021-12-04,Venom: Let There Be Carnage,tt7097896,6
2021-12-24,No Time to Die,tt2382320,6
2021-12-25,Red Notice,tt7991608,6
2021-12-26,Don't Look Up,tt11286314,7
2021-12-28,Jimmy Carr: His Dark Material,tt16259786,6
2021-12-30,The Matrix Resurrections,tt10838180,8
2021-12-30,Bo Burnham: Inside,tt14544192,10
2022-01-03,Death to 2021,tt16301388,6
2022-01-04,The Wandering Earth,tt7605074,7
2022-01-20,Don't Breathe,tt4160708,6
2022-01-21,Don't Breathe 2,tt6246322,6
2022-01-29,Scream,tt0117571,7
2022-01-29,Scream 2,tt0120082,6
2022-02-01,Free Guy,tt6264654,6
2022-02-04,House of Gucci,tt11214590,6
2022-02-11,The Girl with All the Gifts,tt4547056,7
2022-02-19,A Cure for Wellness,tt4731136,7
2022-03-12,Pig,tt11003218,9
2022-03-21,Spider-Man: No Way Home,tt10872600,9
2022-03-26,Eyes Wide Shut,tt0120663,7
2022-04-08,Moonfall,tt5834426,3
2022-04-09,Thoroughbreds,tt5649108,8
2022-04-15,Finch,tt3420504,7
2022-04-17,Honey Boy,tt8151874,8
2022-04-30,The Batman,tt1877830,7
2022-05-20,Everything Everywhere All at Once,tt6710474,9
2022-06-11,The Clovehitch Killer,tt6269368,7
2022-06-19,Let the Right One In,tt1139797,8
2022-06-21,Doctor Strange in the Multiverse of Madness,tt9419884,6
2022-06-24,Event Horizon,tt0119081,5
2022-07-10,Three Identical Strangers,tt7664504,8
2022-07-10,Dual,tt9005184,8
2022-07-22,The Black Phone,tt7144666,6
2022-07-23,The Bob's Burgers Movie,tt7466442,8
2022-08-17,Resurrection,tt11540726,7
2022-09-07,Angel Heart,tt0092563,6
2022-09-16,Thor: Love and Thunder,tt10648342,7
2022-09-17,Nope,tt10954984,7
2022-09-18,The Night House,tt9731534,6
2022-09-24,Top Gun: Maverick,tt1745960,5
2022-10-08,Ambulance,tt4998632,6
2022-12-03,Emily the Criminal,tt15255876,7
2022-12-23,The Guardians of the Galaxy Holiday Special,tt13623136,NA
2022-12-27,Jurassic Park,tt0107290,NA
2022-12-28,The Inn on the River,tt0056012,NA
2022-12-28,Augsburger Puppenkiste - Urmel aus dem Eis,tt0163505,NA
2022-12-29,The Black Abbot,tt0057476,NA
2023-01-01,Glass Onion: A Knives Out Mystery,tt11564570,9
